Frame,Stamp,Timestamp,Seconds,Time
128,1668438418775420970,27016653288,27.016653288,00:27
129,1668438418984591563,27225823881,27.225823881,00:27
130,1668438419222444071,27463676389,27.463676389,00:27
131,1668438419426148248,27667380566,27.667380566,00:27
132,1668438419668500185,27909732503,27.909732503,00:27
133,1668438419893133815,28134366133,28.134366133,00:28
134,1668438420115038780,28356271098,28.356271098,00:28
135,1668438420325376850,28566609168,28.566609168,00:28
136,1668438420582505742,28823738060,28.82373806,00:28
137,1668438420777750761,29018983079,29.018983079,00:29
138,1668438421003759118,29244991436,29.244991436,00:29
139,1668438421218516597,29459748915,29.459748915,00:29
140,1668438421444809402,29686041720,29.68604172,00:29
141,1668438421674972060,29916204378,29.916204378,00:29
142,1668438421874072102,30115304420,30.11530442,00:30
143,1668438422085103700,30326336018,30.326336018,00:30
144,1668438422295801213,30537033531,30.537033531,00:30
145,1668438422563405075,30804637393,30.804637393,00:30
146,1668438422812590312,31053822630,31.05382263,00:31
147,1668438423066923747,31308156065,31.308156065,00:31
148,1668438423332877776,31574110094,31.574110094,00:31
149,1668438423572944361,31814176679,31.814176679,00:31
150,1668438423802382670,32043614988,32.043614988,00:32
151,1668438424078724756,32319957074,32.319957074,00:32
152,1668438424280958728,32522191046,32.522191046,00:32
153,1668438424514540300,32755772618,32.755772618,00:32
154,1668438424759907068,33001139386,33.001139386,00:33
155,1668438424980338145,33221570463,33.221570463,00:33
156,1668438425209490217,33450722535,33.450722535,00:33
157,1668438425434875966,33676108284,33.676108284,00:33
158,1668438425642534856,33883767174,33.883767174,00:33
159,1668438425913192779,34154425097,34.154425097,00:34
160,1668438426135182139,34376414457,34.376414457,00:34
161,1668438426353597995,34594830313,34.594830313,00:34
162,1668438426565025825,34806258143,34.806258143,00:34
163,1668438426776396323,35017628641,35.017628641,00:35
164,1668438426990003069,35231235387,35.231235387,00:35
165,1668438427225353947,35466586265,35.466586265,00:35
166,1668438427427378170,35668610488,35.668610488,00:35
167,1668438427665951573,35907183891,35.907183891,00:35
168,1668438427930987870,36172220188,36.172220188,00:36
169,1668438428141228053,36382460371,36.382460371,00:36
170,1668438428365609506,36606841824,36.606841824,00:36
171,1668438428567243466,36808475784,36.808475784,00:36
