Frame ID,FER Label,AU Multi,Valence,Arousal
139,Neutral,[],0.21254169940948486,-0.0672403946518898
140,Neutral,[],0.1569744050502777,-0.0535537526011467
141,Neutral,[],0.1632731556892395,-0.05335675925016403
142,Neutral,[],0.11213244497776031,-0.04332735389471054
143,Neutral,[],0.11254894733428955,-0.048741500824689865
144,Neutral,[],0.16850949823856354,-0.042378682643175125
145,Neutral,[],0.19158394634723663,-0.031213076785206795
146,Neutral,[],0.1837763488292694,-0.0482882596552372
147,Neutral,['right_inner_brow_raiser'],0.18209487199783325,-0.08411315828561783
148,Neutral,[],0.15380702912807465,-0.06507290154695511
149,Neutral,[],0.2767961919307709,-0.06456219404935837
150,Neutral,[],0.25301918387413025,-0.058428697288036346
151,Neutral,[],0.18866120278835297,-0.05870714783668518
152,Neutral,[],0.17661437392234802,-0.047650180757045746
153,Neutral,[],0.24824994802474976,-0.05530938878655434
154,Neutral,['right_inner_brow_raiser'],0.15255609154701233,-0.049983490258455276
155,Neutral,[],0.18138383328914642,-0.04652135446667671
156,Neutral,[],0.17541708052158356,-0.05081897974014282
157,Neutral,['right_inner_brow_raiser'],0.12679673731327057,-0.048545509576797485
158,Neutral,[],0.1255771368741989,-0.04523602873086929
159,Neutral,['right_inner_brow_raiser'],0.13346095383167267,-0.045036282390356064
160,Neutral,['right_inner_brow_raiser'],0.1881241649389267,-0.048697859048843384
161,Neutral,[],0.08833333849906921,-0.041010886430740356
162,Neutral,['right_inner_brow_raiser'],0.13101087510585785,-0.03859984129667282
163,Neutral,[],0.16375599801540375,-0.04022638127207756
164,Neutral,[],0.15702635049819946,-0.055697306990623474
165,Neutral,[],0.09644632041454315,-0.03631633147597313
166,Neutral,[],0.09987598657608032,-0.03334706649184227
167,Neutral,['right_inner_brow_raiser'],0.0953390896320343,-0.28543761372566223
168,Neutral,"['lip_pucker', 'right_inner_brow_raiser']",0.1480167955160141,-0.07426398247480392
169,Neutral,"['lip_pucker', 'lips_part']",0.1466766744852066,-0.043835174292325974
170,Contempt,['lips_part'],0.3023402988910675,-0.06679898500442505
171,Neutral,[],0.37706729769706726,-0.05982004106044769
172,Contempt,['right_inner_brow_raiser'],0.3125402629375458,-0.262284517288208
173,Neutral,[],0.36228108406066895,-0.06983144581317902
174,Contempt,[],0.3781391382217407,-0.07969880849123001
175,Neutral,[],0.3744920492172241,-0.0623360201716423
176,Neutral,['lips_part'],0.3920750021934509,-0.04031597822904587
177,Neutral,['lips_part'],0.4002036452293396,-0.04928688704967499
178,Neutral,['lips_part'],0.4031047224998474,-0.06847376376390457
179,Contempt,[],0.4589741826057434,-0.06389883905649185
180,Contempt,['lips_part'],0.4604994058609009,-0.0572698637843132
181,Contempt,['lips_part'],0.4901321530342102,-0.06891351193189621
182,Neutral,['lips_part'],0.4849614202976227,-0.07575401663780212
183,Contempt,['lips_part'],0.4440866708755493,-0.06110282987356186
184,Contempt,['lips_part'],0.48448649048805237,-0.061198435723781586
185,Contempt,['lips_part'],0.4520234763622284,-0.06796845048666
186,Neutral,['lips_part'],0.4827255308628082,-0.06394793093204498
187,Contempt,"['lip_pucker', 'lips_part']",0.5346810817718506,-0.0771385133266449
188,Contempt,"['lip_pucker', 'lips_part']",0.5072745084762573,-0.0730556845664978
189,Contempt,[],0.5086199045181274,-0.0640021488070488
190,Contempt,['lip_pucker'],0.4027326703071594,-0.06570582091808319
191,Contempt,"['lip_pucker', 'right_inner_brow_raiser']",0.22609201073646545,-0.13312748074531555
192,Neutral,"['lip_pucker', 'right_inner_brow_raiser']",-0.020977839827537537,-0.10630955547094345
193,Neutral,['lip_pucker'],-0.07062041759490967,-0.12373899668455124
194,Neutral,"['lip_pucker', 'lips_part']",-0.09392036497592926,-0.11237578839063644
195,Neutral,"['lip_pucker', 'lips_part']",-0.1194261908531189,-0.13233456015586853
196,Neutral,['lip_pucker'],-0.18039268255233765,-0.1731838434934616
197,Neutral,"['chin_raiser', 'lip_pucker']",-0.11103810369968414,-0.3293653726577759
198,Neutral,[],-0.08778047561645508,-0.24444079399108887
199,Neutral,['lips_part'],-0.0523785836994648,-0.1680365353822708
200,Neutral,['lip_pucker'],-0.030037280172109604,-0.14155727624893188
201,Neutral,['right_dimpler'],-0.08020015060901642,-0.2236422896385193
202,Neutral,[],-0.11543099582195282,-0.29047057032585144
203,Neutral,['right_dimpler'],-0.14843067526817322,-0.26990705728530884
204,Neutral,[],-0.077241912484169,-0.2721683084964752
205,Neutral,[],-0.06322073936462402,-0.12177830189466476
206,Neutral,"['lip_pucker', 'lips_part']",-0.10854995250701904,-0.14703482389450073
207,Contempt,['lip_pucker'],-0.12373697757720947,-0.21565258502960205
208,Contempt,['lip_pucker'],-0.21808940172195435,-0.2866451144218445
209,Neutral,['lip_pucker'],-0.12382912635803223,-0.26610782742500305
210,Neutral,[],-0.0014618132263422012,-0.10210184752941132
211,Neutral,[],0.04827592894434929,-0.07117525488138199
212,Neutral,[],0.14685945212841034,-0.10569044202566147
213,Contempt,['right_dimpler'],0.15020623803138733,-0.3021707832813263
214,Contempt,"['lip_pucker', 'right_dimpler']",0.10995648801326752,-0.2464878261089325
215,Neutral,[],0.022036515176296234,-0.2662794888019562
216,Neutral,['lip_bite'],-0.09331130981445312,-0.16337724030017853
217,Neutral,[],-0.08637426793575287,-0.06396083533763885
218,Neutral,['lip_pucker'],0.03397861123085022,-0.13827364146709442
219,Neutral,['lip_pucker'],0.14484506845474243,-0.34891968965530396
220,Contempt,[],0.2912391722202301,-0.05980328470468521
221,Neutral,[],0.11918243765830994,0.015715135261416435
222,Neutral,"['lid_tightener', 'lip_pucker', 'lips_part', 'nostril_dilator']",0.16957120597362518,-0.03360806778073311
223,Surprise,"['lips_part', 'right_cheek_raiser']",0.33923500776290894,-0.029253089800477028
224,Neutral,['right_inner_brow_raiser'],0.2667533755302429,-0.09447485208511353
225,Neutral,"['lip_pucker', 'right_inner_brow_raiser']",-0.12792862951755524,-0.10725522041320801
226,Neutral,['lips_part'],-0.15722864866256714,-0.278396874666214
227,Neutral,[],-0.1927064061164856,-0.21175196766853333
228,Neutral,[],-0.14508841931819916,-0.2816579341888428
229,Neutral,['lower_lip_depressor'],-0.05836395546793938,-0.17467892169952393
230,Neutral,['lower_lip_depressor'],-0.10740296542644501,-0.2165396511554718
231,Neutral,['lip_pucker'],-0.1374145895242691,-0.2089165896177292
232,Neutral,[],-0.09974066913127899,-0.206277534365654
233,Sadness,['chin_raiser'],-0.13077309727668762,-0.22649720311164856
234,Sadness,[],-0.11765246093273163,-0.28833332657814026
235,Sadness,[],-0.067437544465065,-0.20166844129562378
236,Neutral,"['nasolabial_deepener', 'lip_stretcher', 'left_nasolabial_deepener']",-0.1440921127796173,-0.14808952808380127
237,Neutral,[],-0.11598199605941772,-0.2391851544380188
238,Neutral,['lip_pucker'],-0.08880506455898285,-0.3412531316280365
239,Neutral,[],0.025034748017787933,-0.39737653732299805
240,Neutral,[],0.0030685756355524063,-0.2212693989276886
241,Neutral,[],0.1123795211315155,-0.13357925415039062
242,Contempt,['lip_bite'],0.07315385341644287,-0.11597252637147903
243,Contempt,['lip_bite'],-0.044657643884420395,-0.16248470544815063
244,Contempt,['lip_bite'],-0.05775776132941246,-0.23454171419143677
245,Contempt,"['lip_pucker', 'lip_bite', 'right_dimpler']",-0.06835529208183289,-0.2984381318092346
246,Contempt,"['lip_pucker', 'right_dimpler']",-0.08482898771762848,-0.2842613160610199
247,Contempt,"['lip_pucker', 'lip_bite', 'right_dimpler']",-0.08177317678928375,-0.3420398235321045
248,Contempt,"['lip_pucker', 'lip_bite']",-0.10720019042491913,-0.34095510840415955
249,Contempt,['lip_pucker'],0.027857646346092224,-0.3752727806568146
250,Sadness,['lower_lip_depressor'],-0.06697346270084381,-0.23017996549606323
251,Neutral,['lips_part'],0.01440386101603508,-0.2055208683013916
252,Sadness,[],0.07980862259864807,-0.25385546684265137
253,Sadness,[],-0.03816651925444603,-0.3070262372493744
254,Sadness,[],-0.1803165078163147,-0.32585135102272034
