Frame,Gaze
1463,Task
1464,Task
1465,Task
1466,Task
1467,Task
1468,Task
1469,Task
1470,Task
1471,Task
1472,Robot
1473,Robot
1474,Robot
1475,Task
1476,Task
1477,Task
1478,Task
1479,Task
1480,Task
1481,Task
1482,Task
1483,Robot
1484,Robot
1486,Robot
1487,Robot
1488,Robot
1489,Robot
1490,Robot
1491,Robot
1492,Robot
1493,Robot
1494,Task
1495,Task
1496,Task
1497,Task
1498,Robot
1499,Task
1500,Task
1501,Task
1502,Task
1503,Task
1504,Task
1505,Task
1506,Task
1507,Task
1508,Task
1509,Task
1510,Task
1511,Task
1512,Task
1513,Task
1514,Task
1515,Task
1516,Robot
1517,Robot
1518,Task
1519,Task
1520,Task
1521,Task
1522,Task
1523,Task
1524,Task
1525,Task
1526,Task
1527,Task
1528,Task
1529,Task
1530,Task
1531,Task
1532,Task
1533,Robot
1534,Task
1535,Task
1536,Task
1537,Robot
1538,Robot
1539,Robot
1540,Robot
1541,Task
1542,Task
1543,Task
1544,Task
1545,Task
1546,Task
2411,Task
2412,Task
2413,Task
2414,Task
2415,Task
2416,Task
2417,Task
2418,Task
2419,Task
2420,Task
2421,Task
2422,Task
2423,Task
2424,Task
2425,Task
2426,Task
2427,Task
2428,Task
2429,Task
2430,Task
2431,Task
2432,Task
2433,Task
2434,Task
2435,Task
2436,Task
2437,Task
2438,Task
2439,Task
2441,Task
2442,Task
2443,Task
2444,Task
2445,Task
2446,Task
2447,Task
2448,Task
2449,Task
2450,Task
2451,Task
2452,Task
2453,Task
2454,Task
2455,Task
2456,Task
2457,Robot
2458,Robot
2459,Robot
2460,Robot
2461,Task
2462,Task
2464,Task
2465,Task
2466,Task
2467,Task
2468,Task
2469,Task
2470,Task
2471,Task
2472,Task
2473,Robot
2474,Robot
2475,Robot
2476,Robot
2477,Task
2478,Task
2479,Task
2480,Task
2481,Task
2482,Task
2483,Task
2484,Task
2485,Task
2486,Task
2487,Task
2488,Task
2489,Task
2490,Task
2491,Task
2492,Task
2493,Task
2494,Task
2495,Task
2496,Task
2497,Task
2498,Task
2499,Task
2500,Task
2501,Task
2502,Task
2503,Task
2504,Task
2505,Task
2506,Task
2507,Task
2508,Task
2509,Task
2510,Task
2511,Task
2512,Task
2513,Robot
2514,Robot
2516,Robot
2517,Robot
2518,Robot
2519,Task
2520,Task
2521,Task
2522,Task
2523,Task
2524,Task
2525,Task
2526,Task
2527,Task
2528,Task
2529,Task
2530,Task
2531,Task
2532,Task
2533,Task
2534,Task
2535,Task
2536,Robot
2537,Robot
2538,Robot
2539,Robot
2540,Robot
2541,Robot
2542,Robot
2543,Robot
2544,Robot
2545,Robot
2546,Robot
2547,Robot
2548,Robot
2549,Robot
2550,Robot
2551,Robot
2552,Robot
2553,Robot
2554,Robot
2555,Robot
2556,Robot
2557,Robot
2558,Robot
2559,Robot
2560,Robot
2561,Robot
2562,Robot
2563,Robot
2564,Robot
2565,Robot
2566,Robot
2567,Robot
2568,Robot
2569,Robot
2570,Robot
2571,Robot
2572,Robot
2573,Robot
2574,Robot
2575,Robot
2576,Robot
2577,Robot
2578,Robot
2579,Robot
2580,Robot
2581,Robot
2582,Robot
2583,Robot
2584,Robot
2585,Robot
2586,Robot
2587,Robot
2588,Task
2589,Task
2590,Robot
2591,Robot
2592,Robot
2593,Robot
2594,Robot
2595,Robot
2596,Robot
2597,Robot
2598,Robot
2599,Robot
2600,Robot
2601,Task
2602,Task
2603,Robot
2604,Robot
2605,Robot
2606,Robot
2607,Robot
2608,Robot
2609,Robot
2610,Robot
2611,Task
2612,Task
2613,Task
2614,Robot
2615,Robot
2616,Robot
2617,Task
2618,Robot
2619,Robot
2620,Robot
2621,Robot
2622,Task
2623,Task
2624,Task
2625,Task
2626,Task
2627,Task
2628,Task
2629,Robot
2630,Robot
2631,Robot
2632,Robot
2633,Robot
2634,Robot
2635,Robot
2636,Task
2637,Task
2638,Task
2639,Task
2640,Task
2641,Robot
2642,Robot
2643,Robot
2644,Robot
2847,Robot
2848,Robot
2849,Task
2850,Task
2851,Task
2852,Task
2853,Task
2854,Task
2855,Task
2856,Robot
2857,Robot
2858,Robot
2859,Robot
2860,Task
2861,Task
2862,Task
2863,Task
2864,Task
2865,Task
2866,Task
2867,Task
2868,Task
2869,Task
2870,Task
2871,Task
2872,Task
2873,Task
2874,Task
2875,Task
2876,Task
2877,Task
2878,Task
2879,Task
2880,Task
2882,Task
2883,Task
2884,Task
2885,Task
2886,Task
2887,Task
2888,Task
2889,Task
2890,Task
2891,Task
2892,Task
2893,Task
2894,Robot
2895,Robot
2896,Robot
2897,Robot
2899,Task
2900,Task
2901,Task
2902,Task
2903,Task
2904,Task
2905,Task
2906,Task
2907,Task
2908,Task
2909,Task
2910,Task
2911,Task
2912,Task
2913,Task
2914,Task
2915,Robot
2916,Robot
2917,Task
2918,Task
2919,Task
2920,Task
2921,Task
2922,Task
2923,Task
2924,Task
2925,Task
2926,Robot
2927,Robot
2928,Robot
2929,Robot
2930,Task
2931,Task
2932,Task
2933,Task
2934,Task
2935,Task
2936,Task
2937,Task
2938,Task
2939,Task
2940,Task
2941,Task
2942,Task
2943,Task
2944,Task
2945,Task
2946,Task
2947,Task
2948,Task
2949,Task
2950,Task
2951,Task
2952,Task
2953,Task
2954,Task
2955,Task
2956,Task
2957,Task
2958,Robot
2959,Task
2960,Task
2961,Task
2962,Task
2963,Task
2964,Task
2965,Task
2966,Task
2967,Task
2968,Task
2969,Task
2970,Task
2971,Task
2972,Task
2973,Task
2974,Task
2975,Task
2976,Task
2977,Robot
2978,Robot
2979,Task
2980,Task
2981,Task
2982,Task
2983,Task
2984,Task
2985,Task
2986,Task
2987,Task
2988,Task
2989,Task
2990,Robot
2991,Robot
2992,Task
2993,Task
2994,Task
2995,Robot
2996,Task
2997,Task
2998,Task
2999,Task
3000,Task
3001,Task
3002,Task
3003,Task
3004,Task
3005,Task
3007,Task
3008,Task
3009,Task
3010,Robot
3011,Robot
3012,Task
3013,Task
3014,Task
3015,Task
3016,Task
3017,Task
3018,Task
4174,Task
4175,Task
4176,Task
4177,Task
4178,Task
4179,Task
4180,Task
4181,Task
4182,Task
4183,Task
4184,Task
4185,Task
4186,Miscellaneous
4187,Miscellaneous
4188,Miscellaneous
4189,Miscellaneous
4191,Task
4192,Task
4193,Task
4194,Task
4195,Task
4196,Task
4197,Task
4198,Task
4199,Task
4200,Task
4201,Task
4202,Task
4204,Task
4205,Task
4206,Robot
4207,Robot
4208,Robot
4209,Robot
4210,Task
4211,Task
4212,Task
4213,Task
4214,Task
4215,Task
4216,Task
4217,Task
4218,Task
4219,Task
4220,Task
4221,Task
4222,Task
4223,Task
4224,Task
4225,Task
4226,Task
4227,Task
4228,Task
4229,Task
4230,Robot
4231,Robot
4232,Robot
4233,Task
4234,Task
4235,Task
4236,Task
4237,Task
